K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	mean_D	sd_D	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.252778	8	8	8	0	8	0	0	0	0	2.02222	2.02222	0	
2	0	2	0	10	0.555556	0.0745356	0.555556	0	0.555556	1	1	1	0	1	0	0	0	0	0.555556	0.555556	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	0	0	0	0	0.2	0.2	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.315556	5	5	5	0	5	0	0	0	0	1.57778	1.57778	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.418519	6	6	6	0	6	0	0	0	0	2.51111	2.51111	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.455556	2	2	2	0	2	0	0	0	0	0.911111	0.911111	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.36	5	5	5	0	5	0	0	0	0	1.8	1.8	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.426667	5	5	5	0	5	0	0	0	0	2.13333	2.13333	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.306667	5	5	5	0	5	0	0	0	0	1.53333	1.53333	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.266667	5	5	5	0	5	0	0	0	0	1.33333	1.33333	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.444444	2	2	2	0	2	0	0	0	0	0.888889	0.888889	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.302222	5	5	5	0	5	0	0	0	0	1.51111	1.51111	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.466667	5	5	5	0	5	0	0	0	0	2.33333	2.33333	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.247619	7	7	7	0	7	0	0	0	0	1.73333	1.73333	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.284444	5	5	5	0	5	0	0	0	0	1.42222	1.42222	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	4	4	4	0	4	0	0	0	0	0.8	0.8	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.238889	4	4	4	0	4	0	0	0	0	0.955556	0.955556	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.253333	5	5	5	0	5	0	0	0	0	1.26667	1.26667	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.444444	2	2	2	0	2	0	0	0	0	0.888889	0.888889	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0	0	0	0	0.355556	0.355556	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.311111	6	6	6	0	6	0	0	0	0	1.86667	1.86667	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.303704	3	3	3	0	3	0	0	0	0	0.911111	0.911111	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.484444	5	5	5	0	5	0	0	0	0	2.42222	2.42222	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.422222	3	3	3	0	3	0	0	0	0	1.26667	1.26667	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	2	2	2	0	2	0	0	0	0	1.06667	1.06667	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.37037	3	3	3	0	3	0	0	0	0	1.11111	1.11111	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	12	12	12	0	12	0	0	0	0	4.26667	4.26667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.425926	6	6	6	0	6	0	0	0	0	2.55556	2.55556	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.238889	4	4	4	0	4	0	0	0	0	0.955556	0.955556	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.346667	5	5	5	0	5	0	0	0	0	1.73333	1.73333	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.433333	6	6	6	0	6	0	0	0	0	2.6	2.6	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.341414	11	11	11	0	11	0	0	0	0	3.75556	3.75556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.325926	6	6	6	0	6	0	0	0	0	1.95556	1.95556	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.333333	5	5	5	0	5	0	0	0	0	1.66667	1.66667	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.344444	4	4	4	0	4	0	0	0	0	1.37778	1.37778	0	
